Country_name,Location_name,Location_lat,Location_long,Year,Site_Type,Species,Density,SE,Samples_n,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Degraded,Parasesarma sp.,0.5,0.12,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Rehabilitated,Parasesarma sp.,1.8,0.22,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Reference,Episesarma sp.,2.5,0.31,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Degraded,Episesarma sp.,0.3,0.08,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Rehabilitated,Episesarma sp.,1.2,0.15,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Reference,Austruca triangularis,1.5,0.18,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Degraded,Austruca triangularis,0.1,0.02,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Rehabilitated,Austruca triangularis,0.8,0.11,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Reference,Tubuca dussumieri,0.9,0.1,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Degraded,Tubuca dussumieri,0,0,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Rehabilitated,Tubuca dussumieri,0.4,0.06,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Reference,Episesarma versicolor,0.6,0.08,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Degraded,Episesarma versicolor,0,0,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Rehabilitated,Episesarma versicolor,0.2,0.04,6,,,,,,,,,,
